Simulation ID,Rules,Order ID,Task1_Name,Task1_Start,Task1_End,Task1_Duration,Task2_Name,Task2_Start,Task2_End,Task2_Duration,Task3_Name,Task3_Start,Task3_End,Task3_Duration,Task4_Name,Task4_Start,Task4_End,Task4_Duration,Task5_Name,Task5_Start,Task5_End,Task5_Duration,Priority,Plan Name,Depth,Arrival Time,Due Date,Finish Time,Throughput Time,Total Process Time
Simulation1,FCFS + FCFS,O-8,T1,8.59,9.82,1.2300000000000004,T2,9.82,12.97,3.1500000000000004,T3,9.86,14.49,4.630000000000001,T4,15.63,19.75,4.119999999999999,T5,20.34,27.36,7.02,1,SampleProcessPlan1,4,7.73,49.56,27.36,19.63,20.15
Simulation1,FCFS + FCFS,O-9,T4,8.0,12.57,4.57,T1,13.85,14.8,0.9500000000000011,T2,15.06,17.48,2.42,T3,15.22,16.88,1.6599999999999984,,,,,0,SampleProcessPlan2,3,8.0,49.82,17.48,9.48,9.6
Simulation2,FCFS + SPT,O-1,T1,0.0,0.68,0.68,T2,0.68,2.37,1.69,T3,0.68,2.13,1.4499999999999997,T4,6.32,10.35,4.029999999999999,T5,10.35,12.46,2.110000000000001,2,SampleProcessPlan1,4,0.0,41.05,12.46,12.46,9.96
Simulation2,FCFS + SPT,O-10,T1,9.82,13.85,4.029999999999999,,,,,,,,,,,,,,,,,0,SampleProcessPlan1,1,8.73,57.31,13.85,5.11,4.03
Simulation2,FCFS + SPT,O-11,T4,10.35,14.67,4.32,,,,,,,,,,,,,,,,,2,SampleProcessPlan2,1,9.1,57.52,14.67,5.57,4.32
Simulation2,FCFS + SPT,O-12,T4,14.28,18.13,3.8499999999999996,T1,25.09,27.58,2.4899999999999984,T3,30.78,34.88,4.100000000000001,T2,30.79,32.64,1.8500000000000014,,,,,2,SampleProcessPlan2,3,9.18,52.7,34.88,25.7,12.29
Simulation2,FCFS + SPT,O-13,T4,14.67,18.41,3.74,T1,24.84,25.09,0.25,T2,25.09,27.87,2.780000000000001,T3,25.09,30.98,5.890000000000001,,,,,2,SampleProcessPlan2,3,10.02,58.8,30.98,20.96,12.66
Simulation2,FCFS + SPT,O-14,T4,18.41,22.66,4.25,T1,24.45,25.67,1.2200000000000024,,,,,,,,,,,,,2,SampleProcessPlan2,2,11.03,54.15,25.67,14.64,5.47
Simulation2,FCFS + SPT,O-15,T4,12.57,15.63,3.0600000000000005,T1,16.75,24.84,8.09,T2,24.84,28.85,4.010000000000002,T3,24.84,28.77,3.9299999999999997,,,,,2,SampleProcessPlan2,3,11.12,56.64,28.85,17.73,19.09
Simulation2,FCFS + SPT,O-16,T4,19.75,24.39,4.640000000000001,,,,,,,,,,,,,,,,,2,SampleProcessPlan2,1,13.75,53.81,24.39,10.64,4.64
Simulation2,FCFS + SPT,O-17,T4,18.13,21.25,3.120000000000001,,,,,,,,,,,,,,,,,0,SampleProcessPlan2,1,13.93,54.22,21.25,7.32,3.12
Simulation2,FCFS + SPT,O-18,T1,14.08,16.75,2.67,T2,16.75,24.44,7.690000000000001,T3,16.88,18.11,1.2300000000000004,,,,,,,,,0,SampleProcessPlan1,2,14.08,63.78,24.44,10.36,11.59
Simulation2,FCFS + SPT,O-19,T1,22.38,24.45,2.0700000000000003,,,,,,,,,,,,,,,,,1,SampleProcessPlan1,1,14.52,57.33,24.45,9.93,2.07
Simulation2,FCFS + SPT,O-2,T4,2.05,6.32,4.2700000000000005,T1,11.92,12.73,0.8100000000000005,T2,12.97,15.82,2.8499999999999996,T3,14.49,17.44,2.950000000000001,T5,15.82,20.34,4.52,2,SampleProcessPlan2,4,2.05,50.86,20.34,18.29,15.4
Simulation2,FCFS + SPT,O-20,T1,19.37,22.38,3.009999999999998,T2,22.38,24.14,1.7600000000000016,T3,22.38,24.21,1.8300000000000018,,,,,,,,,0,SampleProcessPlan1,2,15.14,61.9,24.21,9.07,6.6
Simulation2,FCFS + SPT,O-21,T4,21.25,25.6,4.350000000000001,,,,,,,,,,,,,,,,,2,SampleProcessPlan2,1,16.5,58.31,25.6,9.1,4.35
Simulation2,FCFS + SPT,O-22,T1,27.58,30.55,2.9700000000000024,T2,32.64,34.91,2.269999999999996,T3,34.0,38.93,4.93,,,,,,,,,2,SampleProcessPlan1,2,18.25,63.8,38.93,20.68,10.17
Simulation2,FCFS + SPT,O-23,T4,22.66,26.11,3.4499999999999993,,,,,,,,,,,,,,,,,2,SampleProcessPlan2,1,21.06,68.26,26.11,5.05,3.45
Simulation2,FCFS + SPT,O-24,T4,24.39,29.61,5.219999999999999,,,,,,,,,,,,,,,,,2,SampleProcessPlan2,1,21.45,65.67,29.61,8.17,5.22
Simulation2,FCFS + SPT,O-25,T1,27.64,31.17,3.530000000000001,T2,33.45,36.21,2.759999999999998,T3,45.77,50.94,5.169999999999995,,,,,,,,,2,SampleProcessPlan1,2,21.55,63.19,50.94,29.39,11.46
Simulation2,FCFS + SPT,O-26,T1,30.55,32.23,1.6799999999999962,T3,36.21,38.29,2.0799999999999983,T2,74.63,79.0,4.3700000000000045,T4,80.55,84.1,3.549999999999997,T5,93.51,98.33,4.819999999999993,2,SampleProcessPlan1,4,21.65,68.3,98.33,76.68,16.5
Simulation2,FCFS + SPT,O-27,T4,25.6,28.85,3.25,T1,31.17,36.71,5.539999999999999,T3,38.93,41.0,2.0700000000000003,T2,40.38,49.43,9.049999999999997,,,,,2,SampleProcessPlan2,3,22.89,64.43,49.43,26.55,19.91
Simulation2,FCFS + SPT,O-28,T1,25.67,26.41,0.7399999999999984,T2,28.85,33.45,4.600000000000001,T3,30.98,34.0,3.0199999999999996,T4,37.15,41.29,4.140000000000001,T5,43.51,46.17,2.6600000000000037,1,SampleProcessPlan1,4,24.03,66.86,46.17,22.14,15.16
Simulation2,FCFS + SPT,O-29,T1,34.8,35.01,0.21000000000000085,T2,35.01,40.38,5.3700000000000045,T3,41.0,45.77,4.770000000000003,T4,42.93,48.91,5.979999999999997,,,,,2,SampleProcessPlan1,3,25.41,75.13,48.91,23.5,16.33
Simulation2,FCFS + SPT,O-3,T4,2.17,5.46,3.29,T1,5.46,8.59,3.13,T2,8.59,9.74,1.1500000000000004,T3,8.59,12.46,3.870000000000001,,,,,2,SampleProcessPlan2,3,2.17,44.2,12.46,10.29,11.44
Simulation2,FCFS + SPT,O-30,T1,26.41,27.64,1.2300000000000004,T2,27.87,30.79,2.919999999999998,T3,28.77,30.78,2.0100000000000016,T4,34.02,37.65,3.6299999999999955,T5,37.65,41.16,3.509999999999998,1,SampleProcessPlan1,4,25.98,75.9,41.16,15.18,13.3
Simulation2,FCFS + SPT,O-31,T4,26.22,30.8,4.580000000000002,T1,32.23,34.27,2.0400000000000063,T3,34.88,36.21,1.3299999999999983,T2,58.34,61.76,3.4199999999999946,T5,70.44,74.93,4.490000000000009,2,SampleProcessPlan2,4,26.22,70.4,74.93,48.71,15.86
Simulation2,FCFS + SPT,O-32,T1,35.01,37.01,2.0,,,,,,,,,,,,,,,,,2,SampleProcessPlan1,1,26.93,70.59,37.01,10.08,2.0
Simulation2,FCFS + SPT,O-33,T4,29.12,33.4,4.279999999999998,T1,34.27,34.8,0.529999999999994,T2,36.21,38.45,2.240000000000002,T3,39.53,45.1,5.57,T5,41.16,43.51,2.3500000000000014,2,SampleProcessPlan2,4,29.12,77.11,45.1,15.98,14.97
Simulation2,FCFS + SPT,O-34,T4,29.83,34.02,4.190000000000005,,,,,,,,,,,,,,,,,2,SampleProcessPlan2,1,29.83,78.55,34.02,4.19,4.19
Simulation2,FCFS + SPT,O-35,T1,37.63,38.44,0.8099999999999952,,,,,,,,,,,,,,,,,2,SampleProcessPlan1,1,30.73,77.85,38.44,7.71,0.81
Simulation2,FCFS + SPT,O-36,T1,38.44,44.03,5.590000000000003,T3,48.8,50.26,1.4600000000000009,T2,65.78,68.52,2.739999999999995,T4,76.3,80.55,4.25,T5,80.55,85.54,4.990000000000009,2,SampleProcessPlan1,4,30.88,80.58,85.54,54.66,19.03
Simulation2,FCFS + SPT,O-37,T1,40.02,40.6,0.5799999999999983,,,,,,,,,,,,,,,,,2,SampleProcessPlan1,1,31.33,71.37,40.6,9.27,0.58
Simulation2,FCFS + SPT,O-38,T1,40.6,45.66,5.059999999999995,,,,,,,,,,,,,,,,,2,SampleProcessPlan1,1,31.42,74.65,45.66,14.25,5.06
Simulation2,FCFS + SPT,O-39,T4,31.81,36.42,4.610000000000003,T1,37.01,40.02,3.010000000000005,T3,45.1,48.8,3.6999999999999957,T2,48.81,58.34,9.530000000000001,,,,,1,SampleProcessPlan2,3,31.81,79.0,58.34,26.53,20.85
Simulation2,FCFS + SPT,O-4,T4,2.94,7.16,4.220000000000001,T1,8.09,9.12,1.0299999999999994,,,,,,,,,,,,,0,SampleProcessPlan2,2,2.94,51.76,9.12,6.18,5.25
Simulation2,FCFS + SPT,O-40,T1,48.13,51.32,3.1899999999999977,T3,66.87,69.47,2.5999999999999943,T2,88.42,94.23,5.810000000000002,,,,,,,,,2,SampleProcessPlan1,2,32.39,80.6,94.23,61.84,11.6
Simulation2,FCFS + SPT,O-41,T1,54.47,57.47,3.0,T3,57.8,59.56,1.7600000000000051,T2,68.52,72.45,3.930000000000007,T4,72.51,76.3,3.789999999999992,,,,,2,SampleProcessPlan1,3,32.43,81.68,76.3,43.87,12.48
Simulation2,FCFS + SPT,O-42,T4,33.4,37.15,3.75,,,,,,,,,,,,,,,,,2,SampleProcessPlan2,1,32.87,78.51,37.15,4.28,3.75
Simulation2,FCFS + SPT,O-43,T1,36.71,37.63,0.9200000000000017,T3,38.29,39.53,1.240000000000002,T2,38.45,48.81,10.36,,,,,,,,,0,SampleProcessPlan1,2,35.33,82.84,48.81,13.49,12.52
Simulation2,FCFS + SPT,O-44,T4,36.58,40.44,3.8599999999999994,,,,,,,,,,,,,,,,,2,SampleProcessPlan2,1,36.58,81.06,40.44,3.86,3.86
Simulation2,FCFS + SPT,O-45,T1,57.47,62.55,5.079999999999998,T3,62.63,65.1,2.4699999999999918,T2,65.24,67.15,1.9100000000000108,T4,69.19,72.51,3.3200000000000074,T5,74.93,78.65,3.719999999999999,2,SampleProcessPlan1,4,37.61,82.62,78.65,41.05,16.5
Simulation2,FCFS + SPT,O-46,T1,61.76,63.74,1.980000000000004,T3,65.1,66.87,1.7700000000000102,T2,79.0,83.46,4.459999999999994,,,,,,,,,2,SampleProcessPlan1,2,37.66,77.78,83.46,45.8,8.21
Simulation2,FCFS + SPT,O-47,T4,38.79,42.93,4.140000000000001,T1,44.03,47.34,3.3100000000000023,T3,50.26,53.47,3.210000000000001,T2,83.46,88.42,4.960000000000008,,,,,2,SampleProcessPlan2,3,38.79,86.15,88.42,49.63,15.62
